chunk_id,row,col,snr,floor_frac,s2_floor,s2_plateau,flux_mad_std,a1,a2,a3,a1_ratio,alpha,beta,var_inf,chi2_dof,fit_success
63,2400,5200,2.92238,0.104818,0.0788174,0.751944,0.636699,10.486035447486811,3.4203285750248047,1.110220955024055,16.384430386698142,0.22429564224311643,1.0000000000216105,1.1849140967011351,1.3876600928549339,True
77,2800,5200,2.92649,0.104555,0.11386,1.08899,0.706366,2.1783976529491147,0.6619478520744433,0.18165190372603818,3.4037463327329918,0.3142192607246633,9.999999999999998,1.1643811258986632,0.6704908956716755,True
85,3200,3200,2.94277,0.103521,0.0949329,0.91704,0.632309,4.443998784415878,2.650571935117376,0.8931671089366613,6.943748100649809,0.3937019845226479,9.999999999999998,2.306640012003107,0.7793102843468052,True
16,1200,1600,2.95278,0.102892,0.104349,1.01416,0.70222,4.959491747252243,3.7506242643745495,1.157433094783912,7.749205855081629,0.34374325380070636,9.999999999999998,1.9082909010472924,0.24084041656354666,True
78,3200,400,3.08436,0.095118,0.116771,1.22764,0.948127,5.079095544061687,1.767784627183622,0.9434436477272079,7.936086787596386,0.332276568696195,9.999999997661304,2.2973644139072493,1.654119921968797,True
75,2800,4400,3.17727,0.0901306,0.0894414,0.992354,0.671223,0.7950892288899084,0.19603049202610717,0.1033887425016284,1.2423269201404818,0.39769356627543173,3.036838131923184,1.022281481267613,0.21124070317915586,True
89,3200,4800,3.18137,0.0899188,0.0980788,1.09075,0.731738,4.242673647605127,0.44939120733738463,0.1948071684878032,6.629177574383011,0.34643347915620487,9.99999999999977,1.1696327514115048,0.4957332370419686,True
51,2400,400,3.19588,0.0891769,0.125665,1.40917,0.867965,5.582088968635508,1.6610587316350136,1.033650595305369,8.722014013492982,0.39816029339235576,9.999999999999998,2.8479908487648284,0.821920597022265,True
47,2000,4400,3.23233,0.087352,0.0776265,0.888663,0.575969,0.5482302422192484,0.11301010533479844,0.06656135023774859,0.8566097534675756,0.4812831708558851,1.0549357250736426,0.8941807591178887,2.369523557760396,True
74,2800,4000,3.27238,0.0854081,0.074027,0.866744,0.66568,0.9398202655234323,0.5187147039360183,0.15507714865173217,1.468469164880363,0.3204914244278494,9.999999999994234,0.9267580636127579,0.3403075140310634,True
